query_id,answer
70DfDUpwjxB4lzFd,d722bcda1a555091 355392014208b7bf 6042fecdd7753112 603623b4bd9e8f6c 14d535285758af89 9515d1e1ecdac72c 255fbeaf526a1cc1 6fc4db453f873556 b92ee8f432cec2d1 deb58d7ad8c27d06 2d73dacac243ce62 cf0b70d14b674f8b f4e8903d7689e222 4494aa11cbdc2d65 fa4ba2c2cf71b0b1 a1df0525799ab4b5 e5a240b2eaca4e11 fa01652ca5f57d0f d7ad9f91504e4d02 bbfd9a8c71d3bd2b acc6e16fea8628b0 82ddaf2c54ef884a 936c0eb79b64074d 6047e1566a959d3a 414b206a6ab83aff 73ba3172bc67d2dd 94c5ec723ea5418f 4f96718256e225e4 bee602308dd4d4b3 c04be97528001251 4332513c8fe7e1c9 6dfa83ed47d5bd10 67a46949b04287b7 33f8d361a92bdcde d4ebb123b83921c3 e08f4ce94c268cef 3b5ada3ffcacbbf3 198c47117b3869da d01e14d2ffd4ddba 56157887d3ddab2a a1f89a5af43b9a19 347f89be8087d8c7 66860b3fd69e8056 638349a35daca252 8982e6630adf5c35 95571e85156ba0fe 4c5de54dcb9ddd51 3c78f04fa51ec6b5 c5d1101abf6d2e82 1308d41ffd1cc3a6
JTrdTaZJvSiLPkXj,422d3ffdd5bbf626 cadb904468479c51 4a435cc0a254c1fd 413f6384e3c07b64 f46f68aaa4d7de38 8703b2a0442c5d25 47b2ed1012de011a 431efbc80d59155f 14fbc6d1a2f9f588 88931c4cd463d124 dfa239d031b11832 cbeccbecb1fb8d86 d297d1ddff22476b 1344796085e92421 efde386fb8c4f385 bafe6304f743b5fb 0529307cdfbe4a15 367af128a9ea2a48 7e18adf210484046 19165fefac3dce47 df2bcbda3d2828a9 aba630c0ae03bc91 e9cebe597677e8c6 427a0a8bda5b9679 8f74ccd5549146c6 01fbbfc288257fca 924eeb5f60acf384 1c6d2079e07f4497 f7cc9b020140b225 e08d374366a8ebfb 689e3ed148bca9b5 1cc96086d662cffc 22fcfaa386f58ecc 05c617a17b38e1bc 8879ea7cdf926eb4 26645f170bf01503 75be1179c1cf9418 0f7b573ac008ea9f 9a9aabc6565220f6 0ecca189a4823554 cf7cf3f80dbeeb5a 2f09017b0819844e f50963ef7dda3d19 6202d00a301510ae 523030d8a853e7c4 f93a5a681e8ac5dc 0176c47cafe873ea 411caf020e9adc26 62a6515c16d06bc9 3a5fcb870e078d7e
LZCZNoVG4AFUkVRJ,168a9207e80b0be4 d8fce513e4f000a7 3f89b8062dc85f1c dab52187b4500d9b 10eb6d6da3230bbb 5c3ee000a94c97a4 3b370cc603f67947 c5d21c0e8c1cdb2d edecb3695ab88901 d8b9d06b50158c04 d62074dd39caefee 35a357d7a0777087 c1abf382ab9a79dd ffa57569baf9bf6e 005a523a0efbc62b 0b1c884e6c242ea7 a9840be7d8930cd1 965d4e5fe7062419 53fc0e81b65d6289 ab1a2e6b18e6d75a b111a406629bee53 a461751752fcbf14 1a0aecc251e57776 cddd5411033109a6 6c311e61cde9bac2 33757d777da644a0 e14f5fb01fd62b4b b194ef249115383f 349e3b6f61b37822 bc5cfc9ad5b36256 f03a082e6a709bf3 3f155e092f6b52f3 e353eb33561ac3f3 d8e11672a3a3b1db 0cfd07e8919fe9c9 2745b4bcbdb485c7 055716c49b8a872d e1474df77a67edeb c017a65afc5a3b55 cb5dd2ddc6067c50 72ef0fb278f63f15 4a54704944d6db36 869343a48432fc17 509850e539b723e3 c4eb3209f7fd03e1 65f998d38467560a 54f63ca01b4f312f 5ffe557615057a8c f687490eb8b38367 b3c7d6cd3f72726b
660ac9QVtXkRxZC3,af91ec4a29b66636 1e5924dc546b82c1 bd2cb4500fad728e 3cce43c811459438 a846a2a5241e1180 4c15e7abba063ac5 e42795fcb72962a5 4816fc8b40866f56 7d77c8f23d4954f8 68133a2d8fb6a2b8 0ccc2d9667763ea3 a4a767c8b0af7d0b 7d085dcb32e17e4e 4b36e164c2f820f3 be70c36e4ea38458 44dc7728a94e7689 67b2cd847669eb36 afc08bbe0695d5cb b803b2da1300ea6c 62be8c7f2a81aa9b a7203c0324ac58a0 ee23632037d2462c 90468317503d082f ca7c68af44fd8ee9 d8f21e0f7becfcd5 d81b2e725afbab1d 515a106c4d420814 9b8a6b3666da895e f4168b2429fe5fc8 589c00b1ab00c185 69d46fdd81d8231e 43b68a6ef1bc782c 8fc7ce2809cf1b32 817eae70e673a88c c6348326b4a3b3a0 b5e94d2a7b3874b7 1a4d8bce3afd1b56 957b34b5f0316b76 ad8a61749054cd18 5b8181f009aea80e 5bf59420aa660cbf 2e0b9ff1fd85b3f8 346b159c27ccf883 b8f9bfae96987bda 26cbffeea0f6c575 05b3fa2033a2b570 17d79e42a015dd54 23bac9d9cabf3483 63184bac4cf97ff3 d6ae7f358da98382
YgHcM9MVbxKnxD1e,53f9c8caeeb8111e ba78ad593ec3412d 1a62634394544781 13f58fe9542bdb1a 615c73ea4c3bfd15 9502b74b2d61c50e 0c8a36e283d43f46 5008e2463b0c0526 94cce9ac398a8f4a 0f2830cc25924065 b8603925d28a8c99 9f28638c4695cc98 e4dc4fd74ce1c4c6 fb0bf6077c59c5a2 edd7d381cffa4015 9c41fe789f98d702 38f7cea86e2064f1 4ac1b5362445d885 60e3b99111bd032b 56e3295572157d74 cba533b4d734504c 4ef5ba70fa9baaef c15a07821acfd1de 3bad0535f35b0096 3869e9d8cef84740 940caca6051922cc 77897477ae28aade 9c01722be4efba41 a1b93aaf665bbede 407e6f8c8891a01f 2c6da0b6c9272fe3 03e08eb8f11a3a5d 77a1a9d8e808d482 a413c0c31ebe5c3f 00e247b927321fd3 3e25a9fe34df3533 f763e022da2f65aa d1762d84cbbf6eae 33539f478a2ca02a 3b789e0a071f397f 90872ad5fea97a70 442b0ab445da8fa8 34b022f8eadcaca3 0654823048b2fb84 bbcd30c154b9cd4a 8344a28d331bb7f7 dda1bc471b129fec 4ecc192a6da5b575 3522ccc98c60efd8 c82ceaa3c04c03aa
Fn8uGfYsaUS86ak6,c6ddc1fc25886253 efd1cbb4bff99da8 e3f278c4400772bd 1ebd6968953200ee b9982354b0f9b488 e4d73ff84d102409 5fd350394c4e65a1 6acdbf2dba17b143 44853116720cebf8 67046e3c5492df3e 8ff32856b99b223a f6248730c66364a5 cc19dcdc0a74058b 61857fa438e615aa 38d86757951c36dc 1a0fd0229092f93a d384b46b93bf53b4 55b42f2a9d801f9f 9a7ec349c99eda9a ef11bfa886abcf71 b2563265a39eea3b 5931d549f8e473a0 13e8e9d385f8bdf2 9b98201161efb75f d1be82a6434552ae ea6684f26fefefac 6ac85604bf5bd5d0 93fcb8f1ab1653c3 6f7096b477f898df 21a58af9f274166e b25b8b518c00b246 275d3c1139d393cf aeda02c6cf929847 1ff9c80277e5e5bf a3a19ef63c45ae32 c9298a6e883e58ff 6264d45ef93583b9 3b402107f2b60869 0b9236efd114056f 851e4fe87fde774c 0bc1a0f3bc30f235 b6267021daff8c02 bc98098053d21fbb 585bf343b4e05edf 89d87fd1f08dc999 2588116263f6102f ed729eed29169d98 64f2d2da23aca47c 01c152e3cfa3ca08 82fd662701433866
u4hftjenWqHZoMep,c9021873c1f2511b 1a3daa8815cbd80e 6159d0a9012f6b13 bfc4346cd7fe091f f7ed83d74c968bd4 0cfabc56b1cd4816 4ed8df21d84d4a06 e45c6c6c7afe87d6 144d5e7f963f9a97 4ecfd12428c444fa 57dc728ccb851c30 7a60e1d73f70774c d0a1eeeb46bda2ef 83b88c758270dcfe 7ad464454b711615 7ab3158075b21fb5 24370b8d2003ebfc 11ae4d1b31ebd7e2 b0896578a785ce44 52b552798a34129b bdf6b93538e3573f f9c216af05276961 23d6024339cba1db 15170026bcb38313 f6434c03699c2339 b92c4b28d8117e28 1a176b690b702149 7082f44195356846 fa996c62242e3871 7d8e608edc06dced efa44692d3269751 8f38182499e0e3ee eecc194627e2aca1 16efee719fbdda90 d34c2d543ee13e0e cdb18a4de2a88fe8 430acaff23bc85b8 0aa44cf31b582c67 cbe77f38e9ed580a f4995fd1684498ad 4e95d2667dcb5fb3 8110d164989ba49a 576a4f96b690381f 15250968d978eca4 7ed0cf07df7990e7 e48b42434e493ae7 76448ab17a49c252 f7084f0a18bdcbe4 7bc00b089652c4fa e4ee31c1ea6bd435
2Ysms04CH0JxFR7M,376b59a44a9b7fde d39a335d58289043 4eab8b78558b6cb7 ba854086d29b49b8 d7383729fe99b54f d88cf31055f8f2f9 866937840b197999 1a4ad9abea6976bf 2021792912211cc8 9b746cef1e3ebe28 2ec74c681dda0a47 cd8a55e63e6ab416 9e6898aa5a012ad4 0749b0eac68ddfa2 a1ce355c874ba851 d6161215ffaba51b 831141431ca6022b 27514aceb5aeb5b4 c367d367efd7e4bf fa0facc1035123dc c57e284d60a66f9b 4e2cb3c6fe0f1376 ff14cbd8d906719a 7cd161f77b76b004 4ab5d95e3dbd0660 1d3eb18e863c9dbf d765d8511e57bd2d e3f2e9efeb9d1b5a e27b8a70862f28a9 af875b8598f2f28f f4bc1d7e5f5c5d38 48fb9b26f3ab9085 d1254ee38f8a30e6 fbb2679dd04005db 67cc1ef771b75c1b c33361da32aa551f f831a78cf96585a6 cb189e6c6068a928 75720223ea9155af 0dcd4085e5061e40 17e2f34cbfa91878 9f5d1b24b2d8552e d09fb6a38d144dde 9972a497c9dcd441 456fefde43febf5a bfd2fa35e7a1660f 302ffab4d78f8d66 1d2f3a0bcc06b677 3a152139cefe415b 57811f80bf623c40
C87NmbDEECz55BdJ,772bdac5eb711ff6 d53ed1b5ee04124b 58c8bb4cda560a90 7c1fd27bf3023a09 8d368cec78617ab7 985dc437fea08791 639d85039afd302d 94c4ccd762aae19f 60da3b17af6c67c6 272fb9d939705fa2 9f69c8903ff81799 a2fe5220900a341a a317a15b20ded8b5 86de71c66dd2773e 17d852af377fc179 47d69ab911f7e876 0489ab346368fb43 d93f9fd25c34020e 325cb0e9cc186e77 ae71662e1cd76c33 42b32e2a4f2e1a0a 3482673a7d6aceca 1210ead0ad9cacdf 503fa42b3135b07a 102b9907088f7929 deb926c50529931b 2fda907fd6c2e822 5afbf6db81762374 104da90f582eb10b 03d74f1e16c5cb36 24f65a1ed155d3f6 933c563c0b97b294 d5481806b6e8dfde 21835a80bf8ab16c 41206f1973ec29eb e0f567b0b56f901d e10ac87f506d128c 7d3079ea89ea3327 bb793f8bb34cb7a4 010db753a547e8e0 8e27e0145ab2d9ee 5bee8aed3480d143 657d50165b7f7e8d c110cd29cc7b359f 381a8efcef28071e 32bcc7672238130c c143762ac93699b4 77b7b1e4713c0a38 312eb6d5e3c97fe5 a58ff0d22079679f
bTF8nFanljgh7MYg,adb24f7adbef70ff 627ca4f7dc9fe638 33de3813f4dac961 88c1ca26292dbdff 495994dc327cbdd5 a37577e9aafbd972 070b67d8d87a7d16 12f8eb8fc5bcf830 1ef0d3d4bf13d4e5 a2e5965b7fb44ba0 6f9ecabf50905914 1555a20631f724fe 09e9fea66d9b18ed e1a509061db4365e d49b0855508c7a45 375fb68073264a28 8fccb5f577dc8cc3 95d6e5ef0d0d0024 f9595eb51bddab0d e8432bd2b7d630de 9edac9c89f206e81 038f58e7f1586fe5 bcd89dcbf0a0b2d8 243b21ffcfd1a199 1f0cee997566343d 89d87fd1f08dc999 6d555244cb03b19e c24a12ce21ce15aa 1f9673dcc275ea7d ea73f037eb9fe5f3 32088a8ad6e8830e e0d32e896721428e a4bb855432606cc1 e4273fa2690bf03d 21d68d162d16a320 fe47b644e71c6de6 6cba6bc244ec6f87 8f25b2449d290640 f1a94922489fe1ae e0e0b031c5e47b5f 8435a79a3d99eddb f00d7423e8aa5e00 d196e71ad7e6fe98 b34733c391de391f ab7e197209e40355 8673e52d7a10e87d ced827260f402fe8 bcbc804799b985ac bc6fe8709b827527 7f5366012e4a990d
