query_id,answer
70DfDUpwjxB4lzFd,6047e1566a959d3a 73ba3172bc67d2dd 94c5ec723ea5418f 4332513c8fe7e1c9 bee602308dd4d4b3 66860b3fd69e8056 e5a240b2eaca4e11 d7ad9f91504e4d02 14d535285758af89 c04be97528001251 bbfd9a8c71d3bd2b d01e14d2ffd4ddba 355392014208b7bf 603623b4bd9e8f6c 82ddaf2c54ef884a 75368254f36b2c3f 3b5ada3ffcacbbf3 9515d1e1ecdac72c 4f96718256e225e4 acc6e16fea8628b0 67a46949b04287b7 d722bcda1a555091 414b206a6ab83aff 33f8d361a92bdcde fa01652ca5f57d0f 936c0eb79b64074d fa4ba2c2cf71b0b1 4494aa11cbdc2d65 d4ebb123b83921c3 deb58d7ad8c27d06 f4e8903d7689e222 b92ee8f432cec2d1 255fbeaf526a1cc1 198c47117b3869da 6fc4db453f873556 a1df0525799ab4b5 8982e6630adf5c35 a1f89a5af43b9a19 2d73dacac243ce62 e50d47c77b2c8a58 56157887d3ddab2a 95571e85156ba0fe 6dfa83ed47d5bd10 638349a35daca252 347f89be8087d8c7 c5d1101abf6d2e82 6042fecdd7753112 3c78f04fa51ec6b5 978da52beacf3b49 0a32e88bbfb35c29
JTrdTaZJvSiLPkXj,422d3ffdd5bbf626 7e18adf210484046 88931c4cd463d124 cadb904468479c51 19165fefac3dce47 0529307cdfbe4a15 efde386fb8c4f385 dfa239d031b11832 f46f68aaa4d7de38 e9cebe597677e8c6 413f6384e3c07b64 431efbc80d59155f 4a435cc0a254c1fd 8703b2a0442c5d25 75be1179c1cf9418 1cc96086d662cffc 8f74ccd5549146c6 367af128a9ea2a48 1c6d2079e07f4497 427a0a8bda5b9679 26645f170bf01503 0ecca189a4823554 6202d00a301510ae cbeccbecb1fb8d86 2f09017b0819844e f7cc9b020140b225 d297d1ddff22476b 47b2ed1012de011a aba630c0ae03bc91 14fbc6d1a2f9f588 1344796085e92421 bafe6304f743b5fb 924eeb5f60acf384 689e3ed148bca9b5 e08d374366a8ebfb df2bcbda3d2828a9 22fcfaa386f58ecc 01fbbfc288257fca 3a5fcb870e078d7e f50963ef7dda3d19 411caf020e9adc26 0f7b573ac008ea9f f93a5a681e8ac5dc cf7cf3f80dbeeb5a 62a6515c16d06bc9 523030d8a853e7c4 9a9aabc6565220f6 664665688c35c1d0 05c617a17b38e1bc 5fb8205a8c106545
LZCZNoVG4AFUkVRJ,d8fce513e4f000a7 168a9207e80b0be4 10eb6d6da3230bbb c5d21c0e8c1cdb2d edecb3695ab88901 dab52187b4500d9b c1abf382ab9a79dd 3b370cc603f67947 5c3ee000a94c97a4 3f89b8062dc85f1c d62074dd39caefee ffa57569baf9bf6e d8b9d06b50158c04 53fc0e81b65d6289 a9840be7d8930cd1 ab1a2e6b18e6d75a 1a0aecc251e57776 e14f5fb01fd62b4b 965d4e5fe7062419 6c311e61cde9bac2 35a357d7a0777087 0b1c884e6c242ea7 3f155e092f6b52f3 bc5cfc9ad5b36256 005a523a0efbc62b a461751752fcbf14 54f63ca01b4f312f 65f998d38467560a f687490eb8b38367 33757d777da644a0 2745b4bcbdb485c7 d8e11672a3a3b1db f03a082e6a709bf3 b3c7d6cd3f72726b 5ffe557615057a8c 08a5a810e06168af 72ef0fb278f63f15 be827d807fb7e17c 509850e539b723e3 4156adcc5c8051bb 0c82dcb07c43fbc5 974b459d83fc73c2 2bdc0973aa9e6ab6 cd1c56b83e98a81f 98ac8aff0ca27801 dd8c35bbe719825f 41dca66cc99af0c3 914955a036966d94 f15206e5d1387bcc ea5ae87445c6055a
660ac9QVtXkRxZC3,af91ec4a29b66636 1e5924dc546b82c1 bd2cb4500fad728e 3cce43c811459438 4c15e7abba063ac5 a846a2a5241e1180 67b2cd847669eb36 e42795fcb72962a5 0ccc2d9667763ea3 4816fc8b40866f56 7d77c8f23d4954f8 62be8c7f2a81aa9b 5b8181f009aea80e 9b8a6b3666da895e 69d46fdd81d8231e 515a106c4d420814 ad8a61749054cd18 ca7c68af44fd8ee9 7d085dcb32e17e4e be70c36e4ea38458 1fb7707db248aeb5 c6348326b4a3b3a0 a7203c0324ac58a0 d81b2e725afbab1d a4a767c8b0af7d0b ee23632037d2462c 44dc7728a94e7689 afc08bbe0695d5cb d8f21e0f7becfcd5 6191477f49af3209 558ec870e7692d59 f4168b2429fe5fc8 17d79e42a015dd54 d1a4500091360450 b8f9bfae96987bda 346b159c27ccf883 cbf29dff5b761b8c 2e0b9ff1fd85b3f8 c94d2f458e46a994 b1cf0726a906e3d8 90468317503d082f 0b38c3b3819b74f0 43b68a6ef1bc782c 23bac9d9cabf3483 957b34b5f0316b76 0d28600703c3e946 5bf59420aa660cbf f073e6ed45094779 d6ae7f358da98382 8925c1ae30327290
YgHcM9MVbxKnxD1e,ba78ad593ec3412d 53f9c8caeeb8111e 13f58fe9542bdb1a 1a62634394544781 94cce9ac398a8f4a 615c73ea4c3bfd15 9502b74b2d61c50e 4ef5ba70fa9baaef 5008e2463b0c0526 0c8a36e283d43f46 0f2830cc25924065 b8603925d28a8c99 407e6f8c8891a01f 38f7cea86e2064f1 60e3b99111bd032b 442b0ab445da8fa8 9c41fe789f98d702 edd7d381cffa4015 3522ccc98c60efd8 fb0bf6077c59c5a2 940caca6051922cc e4dc4fd74ce1c4c6 4ecc192a6da5b575 03e08eb8f11a3a5d 9f28638c4695cc98 4ac1b5362445d885 3bad0535f35b0096 c15a07821acfd1de a413c0c31ebe5c3f 9c01722be4efba41 90872ad5fea97a70 34b022f8eadcaca3 3b789e0a071f397f 56e3295572157d74 3e25a9fe34df3533 2c6da0b6c9272fe3 f763e022da2f65aa 77a1a9d8e808d482 cba533b4d734504c a1b93aaf665bbede 58b6cd466f7cf9bb 33539f478a2ca02a 7760727ceba409d5 77897477ae28aade bbcd30c154b9cd4a 56d524c34ff414ac 735f402faf35bb9d 3e5cd12f49696bff c82ceaa3c04c03aa 8344a28d331bb7f7
Fn8uGfYsaUS86ak6,c6ddc1fc25886253 efd1cbb4bff99da8 e3f278c4400772bd 1ebd6968953200ee b9982354b0f9b488 e4d73ff84d102409 5fd350394c4e65a1 6acdbf2dba17b143 44853116720cebf8 8ff32856b99b223a cc19dcdc0a74058b 67046e3c5492df3e f6248730c66364a5 1a0fd0229092f93a 38d86757951c36dc 61857fa438e615aa d384b46b93bf53b4 9b98201161efb75f 55b42f2a9d801f9f b2563265a39eea3b 275d3c1139d393cf ea6684f26fefefac 93fcb8f1ab1653c3 9a7ec349c99eda9a bc98098053d21fbb 5931d549f8e473a0 b25b8b518c00b246 0b9236efd114056f 01c152e3cfa3ca08 6f7096b477f898df d1be82a6434552ae 1ff9c80277e5e5bf ae66c41ef6847433 aeda02c6cf929847 82fd662701433866 3b402107f2b60869 2588116263f6102f 01a4bfb1818769c3 64f2d2da23aca47c ee49d0f90bd0642b 851e4fe87fde774c fa4e28661889a49b 13e8e9d385f8bdf2 2c01198e6a9e5dcf 585bf343b4e05edf 5608e1f8f203f7f0 0bc1a0f3bc30f235 a3a19ef63c45ae32 6ac85604bf5bd5d0 21a58af9f274166e
u4hftjenWqHZoMep,6159d0a9012f6b13 f7ed83d74c968bd4 1a3daa8815cbd80e bfc4346cd7fe091f c9021873c1f2511b 0cfabc56b1cd4816 4ed8df21d84d4a06 144d5e7f963f9a97 57dc728ccb851c30 d0a1eeeb46bda2ef 4ecfd12428c444fa 7ad464454b711615 83b88c758270dcfe 7ab3158075b21fb5 b0896578a785ce44 24370b8d2003ebfc e45c6c6c7afe87d6 52b552798a34129b 7a60e1d73f70774c bdf6b93538e3573f 11ae4d1b31ebd7e2 4e95d2667dcb5fb3 5759329c5e48b81d 1a176b690b702149 7bc00b089652c4fa 7d8e608edc06dced 90e17d85ce74fabd 69d8eb81dfbd696b 5dd3a74fe5d4e813 105a3a9285c33611 832f78d555c60c72 d0986807a63f35f8 71c14e0b20454bd2 f8b023e74e665a78 eda77ce98bbf5dd4 b92c4b28d8117e28 eecc194627e2aca1 f2d7a21bead9c336 187301218cd5bbdc 7ae144f60df3a5c9 4d9c460613abee81 0e8ff25999e4cd87 73d1b8c8138e3e71 f9c216af05276961 8afad6be8a494e42 23d6024339cba1db efa44692d3269751 fe71c45eaf9d5809 734b44282e741008 0375f4bea0626c4c
2Ysms04CH0JxFR7M,376b59a44a9b7fde 4eab8b78558b6cb7 d39a335d58289043 1a4ad9abea6976bf ba854086d29b49b8 d7383729fe99b54f c57e284d60a66f9b d88cf31055f8f2f9 2ec74c681dda0a47 7cd161f77b76b004 2021792912211cc8 c367d367efd7e4bf fa0facc1035123dc 48fb9b26f3ab9085 866937840b197999 e27b8a70862f28a9 27514aceb5aeb5b4 9b746cef1e3ebe28 cd8a55e63e6ab416 d6161215ffaba51b ff14cbd8d906719a 831141431ca6022b a1ce355c874ba851 1d3eb18e863c9dbf 0749b0eac68ddfa2 9e6898aa5a012ad4 4ab5d95e3dbd0660 d765d8511e57bd2d 4e2cb3c6fe0f1376 d1254ee38f8a30e6 e3f2e9efeb9d1b5a af875b8598f2f28f c33361da32aa551f f4bc1d7e5f5c5d38 f3624440950caa5b 67cc1ef771b75c1b 3a152139cefe415b 75720223ea9155af 302ffab4d78f8d66 456fefde43febf5a 1d2f3a0bcc06b677 66d2f6f3fb967645 17e2f34cbfa91878 9972a497c9dcd441 c4b44fa04e075c00 0dcd4085e5061e40 da9e1a717a641799 bfd2fa35e7a1660f 832f57a536a3da0a e3598048a2754fcd
C87NmbDEECz55BdJ,772bdac5eb711ff6 d53ed1b5ee04124b 58c8bb4cda560a90 985dc437fea08791 94c4ccd762aae19f 639d85039afd302d 7c1fd27bf3023a09 8d368cec78617ab7 60da3b17af6c67c6 47d69ab911f7e876 17d852af377fc179 325cb0e9cc186e77 42b32e2a4f2e1a0a 9f69c8903ff81799 86de71c66dd2773e 102b9907088f7929 0489ab346368fb43 d93f9fd25c34020e 03d74f1e16c5cb36 a317a15b20ded8b5 a2fe5220900a341a 3482673a7d6aceca 104da90f582eb10b 1210ead0ad9cacdf ae71662e1cd76c33 41206f1973ec29eb 5afbf6db81762374 272fb9d939705fa2 24f65a1ed155d3f6 503fa42b3135b07a 2fda907fd6c2e822 7d3079ea89ea3327 933c563c0b97b294 e10ac87f506d128c 21835a80bf8ab16c 32bcc7672238130c 8e27e0145ab2d9ee d5481806b6e8dfde c110cd29cc7b359f deb926c50529931b 381a8efcef28071e e0f567b0b56f901d da78f72b2c2de7d8 010db753a547e8e0 4f5b402688684e75 bb793f8bb34cb7a4 c143762ac93699b4 312eb6d5e3c97fe5 657d50165b7f7e8d 5bee8aed3480d143
bTF8nFanljgh7MYg,adb24f7adbef70ff 627ca4f7dc9fe638 88c1ca26292dbdff 070b67d8d87a7d16 495994dc327cbdd5 33de3813f4dac961 a2e5965b7fb44ba0 1ef0d3d4bf13d4e5 a37577e9aafbd972 12f8eb8fc5bcf830 1555a20631f724fe 09e9fea66d9b18ed 6f9ecabf50905914 8fccb5f577dc8cc3 f9595eb51bddab0d bcd89dcbf0a0b2d8 e1a509061db4365e bc6fe8709b827527 e4273fa2690bf03d c368b74637498b2c d49b0855508c7a45 8435a79a3d99eddb 9edac9c89f206e81 f1a94922489fe1ae 375fb68073264a28 ab7e197209e40355 21d68d162d16a320 e8432bd2b7d630de 7f5366012e4a990d 038f58e7f1586fe5 b34733c391de391f 95d6e5ef0d0d0024 5d473fb6e7581809 fe47b644e71c6de6 a22b4ba258b3a96d 89d87fd1f08dc999 243b21ffcfd1a199 c24a12ce21ce15aa ff04045b42608af9 1cde948a7d0252cd 1f9673dcc275ea7d e0e0b031c5e47b5f 5faef27030a49c23 ebcb7e5445c41bb6 f00d7423e8aa5e00 6d555244cb03b19e 851289e4c0f3ae18 2457bd08a856697b 5fa14caa31bb1d83 a900636006c26a28
BHqkB8hyVBLYjeJk,f6cafc65bc477089 86ed21b72a45fe76 6e28821e5a681b5a 9bbba29b77e9b1af ad86467ee810f2d2 77591840de7e9360 8d41bcd6245bfc44 02041ecc093b5437 f7bd6c612e4dbe56 a56fd64b3ff5130f 4dc1349e573c5d55 33880aa1be10ede4 203bd20bd909376d 67579f7cf6921658 52f65d310d04442c a416c0f4f736d0ec 9d1919bf6d90017d b8592577c27ed8a3 f4310a574a8537ff 706a7da9befff978 219b726aaeaf24a6 4524365f48ebcf8d 9e21b8e5a71a0ea0 42d05bdc05ca9e59 b4017e6e7d3fded8 ea4b62cd245b9a77 134f9f5bf5cff064 8834dddb19f784d8 da0941328a71286d e1b4eba97b8c5240 65ebc71554572353 e7ca5f3fe4c7223d da827f116d8d25d4 47cfc419babf1fad 3bcf04a270c3a02e 2b2441392c62fbd6 611804dbb9c68a4c 36872ca77d9cc79f a90eac5917526597 cf95bf393cddc29e 6ca646f31be2f88a 91c2de2e8425ca37 e6fd0c4927b8ecfe 9d0d9e73fb885f2d 955dada2f9842dcb 0c067e5bd5bc2710 04a433604469adc8 8011065b14a4c338 74e0d44528cf4e3b cd4ddca9e5606bc1
dkPW1ez4OuJlKP6f,bbf504a6b1a049c6 bd5db5a85cb5d137 6584cfa935839cf4 3273767a2bb49d6b 8c701d10e55df960 a8fa48f1640cb031 ce7523dfe05215a7 d358644b7d4cc307 ce42b5f35d48e553 297d7a16bcc23db9 f29cbfff2e995f80 c6a2cca92ccebbed a8d8a9fd35ab86f4 ab5b5ba8f1cb89be d7eed8775adc0ba0 0379f593b36a1dd8 829de623e3057ff4 7b74c9b090b4e7c8 f7129adee5c58271 cfbfd42debb34200 4ded79793f35192e afd90d3ace6ba47b 9f95f39e03a25ffe 01346d7ab677a006 3b570adfc69a4d35 eee1a3ccabea8e5d 83b57f6e2fbe6cf0 530b319de7efdbec c2a68365efd026e5 933cba9a883d872b 4bbb6cf166d6242d 38c5b2e1ad821947 0239f8a55c21711f a234a719880fd744 cf00805727f3c1df c59d6a728daa8d08 adb69bac298be4b2 c71fa2b850a556b7 a4ed2031fd29e18a 15ddeecb930d4f8d ae03c142e97cbf03 4b2cebb0e2858db2 54e2af6d91225d71 c6a0d82b9f767c9d 2c6b5285b7190531 dca7f2ed9829d508 90ca0ea2a53ee04d 79e0a78b97d03019 2d4cf41b40e79793 b1a90d7c819f6331
